"","AGE","EDUCATION","SEX","DISABILITY","INSURANCE","CHILD","RACE","INCOME"
"1636",47,17,2,2,1,0,1,36000
"3881",29,19,1,2,1,0,1,75000
"4164",93,23,1,1,1,0,1,41100
"3907",35,19,2,2,1,0,1,0
"3183",59,16,2,2,1,0,1,36000
"2777",56,16,1,2,1,0,1,55000
"9",54,18,2,2,2,0,1,4000
"1279",62,22,1,2,1,0,1,40500
"3624",68,18,1,1,1,0,1,32300
"1426",63,16,1,2,1,0,1,53740
"188",32,18,1,2,1,0,1,60000
"2690",31,20,2,2,1,0,1,0
"263",39,19,1,2,1,0,1,24000
"41",52,19,1,1,2,0,1,12200
"2564",20,19,2,2,1,0,1,1000
"1338",47,18,1,2,1,0,1,121000
"1022",35,15,1,2,1,0,1,15000
"3590",84,22,1,2,1,0,1,19500
"3489",36,16,2,2,1,0,1,29000
"3909",63,19,2,2,1,0,1,28000
"3804",31,21,2,2,1,0,1,0
"1926",20,19,1,2,1,0,1,10000
"2152",20,16,1,2,1,0,1,27400
"1198",25,20,2,2,1,0,1,15000
"2583",34,16,1,2,1,0,1,14400
"2232",61,23,1,2,1,0,1,73000
"2976",72,16,2,2,1,0,1,8000
"1356",56,19,2,2,2,0,3,40480
"673",68,16,2,2,1,0,1,21900
