"","Mobility","Employment","Sex","Education","Disability","Health_insurance","Own_child","Race","Total_person_income"
"3006",1,6,1,22,2,1,0,1,46500
"303",1,1,1,21,2,1,0,1,12040
"4565",1,1,2,21,2,1,0,1,38400
"3755",1,6,2,16,2,1,0,1,8400
"206",1,1,2,19,2,1,0,1,20000
"717",1,1,1,14,2,1,0,1,26000
"3901",1,1,1,18,1,1,0,1,55000
"5415",1,1,2,20,2,1,0,1,99500
"2660",1,1,1,19,2,1,0,1,28000
"2898",1,6,1,21,2,1,0,1,39900
"258",1,1,1,21,2,1,0,1,35300
"5126",1,6,1,17,2,1,0,1,26300
"2328",1,1,2,22,2,1,0,1,75000
"2953",1,1,2,19,2,1,0,1,36200
"599",1,6,2,19,2,1,0,1,19200
"90",1,1,1,16,2,1,0,1,95000
"1770",1,1,1,19,2,1,0,1,30000
"3679",3,6,1,18,1,1,0,1,19000
"3572",1,1,2,19,2,2,0,9,213000
"4123",1,6,2,16,2,1,0,1,20100
"3730",1,1,1,21,2,1,0,1,20400
"1755",1,1,1,16,1,1,0,1,81300
"5130",1,1,1,20,2,2,0,1,21000
"987",3,1,2,19,2,1,0,1,87000
"4150",1,6,1,15,1,1,0,1,20000
"2937",1,1,1,20,2,1,0,9,66000
"4186",1,6,2,19,2,1,0,1,12400
"2738",1,1,2,16,2,2,0,1,12600
"4392",1,1,1,19,2,1,0,1,29100
"2359",1,1,1,21,2,1,0,1,63000
"1481",1,1,2,20,2,1,0,1,80000
"3396",1,1,1,16,2,1,0,1,36000
"4318",1,1,2,21,2,1,0,3,52100
"1866",1,6,1,16,1,1,0,1,68000
"3998",1,1,2,19,1,1,0,1,46000
"1977",1,6,2,19,2,1,0,1,13500
"3045",1,3,2,16,2,2,0,1,1400
"1506",1,1,1,20,2,1,0,2,89000
"4429",1,6,1,16,1,1,0,1,26000
"5243",1,1,1,21,2,1,0,1,110000
"4422",1,1,1,16,2,1,0,1,25000
"5371",1,1,2,16,2,2,0,1,25000
"3370",1,1,1,21,2,1,0,1,91000
"1162",1,1,2,21,2,1,0,1,34000
"2203",1,6,1,16,2,1,0,1,8600
"1244",1,1,1,20,1,1,0,1,158300
"1221",2,1,1,16,2,1,0,1,15000
"3315",3,1,1,16,2,2,0,1,30000
"484",1,1,2,19,2,1,0,1,31600
"2813",1,6,2,19,1,1,0,1,40000
